Customer Code,Company Name,Ship to Name,Physical Address Line 1,City,State,Zip,Area Code,Phone Exchange,Physical Phone,EMAIL_ADDRESS,EMAIL_ADDRESS_2,Profile Desc,Dist,Account,Display,Date,EndDate,CRM ,,Website,Lat ,Long
DEBRFL,DEGIULIO BROTHERS FLOORING LLC,DEGIULIO BROS FLOOR,661 STATE HWY 29,Broadalbin,NY,12025,518,883,7439,degiuliobrothersflooring@gmail.com,,TARKETT 22 PIN DISPLAY,131263,656693,RES22PINLTDISP,20210401,99991231,,,,,
DIMCAR,DIMAURO CARPET & TILE INC,DIMAURO CARPET,185 SHAKER RD,East Longmeadow,MA,01028,413,525,1991,paulbeturne@dimaurocarpet.com,,TARKETT 22 PIN DISPLAY,131263,602172,RES22PINLTDISP,20210401,99991231,,,,,
DIMCAR,DIMAURO CARPET & TILE INC,DIMAURO CARPET,185 SHAKER RD,East Longmeadow,MA,01028,413,525,1991,paulbeturne@dimaurocarpet.com,,TARKETT NEW INTRO DISPLAY,ok,,,20210401,99991231,,,,,
FLBYGE,FLOORS BY GEORGE,FLOORS BY GEORGE,11333 S 140 E AVE,Broken Arrow,OK,74011,918,252,5182,zane@allfloorsbygeorge.com,,LEXMARK NEW LIVING DISPLA,131263,606693,RES22PINLTDISP,20210401,99991231,,,,,
FLDENH,FLOOR DESIGNS 1 LLC,FLOOR DESIGNS 1 LLC,301 MURPHY RD,Hartford,CT,06114,860,297,294,floordesignsct1@aol.com,,LEXMARK NEW LIVING DISPLA,131263,632257,RES22PINLTDISP,20210401,99991231,,,,,
JHCARP,J H CARPETING,J H CARPETING,96 BEACON ST,Marblehead,ma,01945,781,424,990,intellikick@yahoo.com,,TARKETT 22 PIN DISPLAY,131263,651116,RES22PINLTDISP,20210401,99991231,,,,,
KAFMAR,MARK KAFKA,MARK KAFKA C/O,,,,,,,,mark_kafka@nrfdist.com,,TARKETT NEW INTRO DISPLAY,,??,,20210401,99991231,,,,,
S&BFLO,S&B FLOORING AND TILE INC,S&B FLOORING & TILE,9264 RT 6,Troy,PA,16947,570,870,2022,sandbflooringandtile@gmail.com,,TARKETT 22 PIN DISPLAY,ok,649585,RES22PINLTDISP,20210401,99991231,,,,,
SHERWN,THE SHERWIN-WILLIAMS CO. N30,??,,,,,,,,,,TARKETT NEW INTRO DISPLAY,??,,,20210401,99991231,,,,,
SHOWRM,NRF SHOWROOM,NRF DISTRIBUTORS,,,,,,,,,,TARKETT NEW INTRO DISPLAY,??,,,20210401,99991231,,,,,
